"   ","STRENGTHS","WEAKNESSES","PLAYING_STYLE","P_NAME","P_ID","TEAM_NAME","PLAYER_ID","ROWID"
"24","Leadership","Lack of Experience","Isolation","Shooting Guard","1","""CHA""","16446","AACmXpAAGAAAgVDAAX"
"25","Size/Length","Poor Ball Handling","Fast Break","Power Forward","1","ATL","9952","AACmXpAAGAAAgVDAAY"
"26","Leadership","Poor Decision Making","Man-to-Man Defense","Point Guard","4","""UTA""","3659","AACmXpAAGAAAgVDAAZ"
"27","Leadership","Foul Prone","Fast Break","Center","4","""DET""","6688","AACmXpAAGAAAgVDAAa"
"28","Defense","Lack of Size/Length","Isolation","Point Guard","4","""LAL""","13825","AACmXpAAGAAAgVDAAb"
"29","Size/Length","Poor Ball Handling","Half-Court Offense","Small Forward","4","""SAS""","6142","AACmXpAAGAAAgVDAAc"
"30","Size/Length","Lack of Athleticism","Triangle Offense","Shooting Guard","3","""TOR""","10967","AACmXpAAGAAAgVDAAd"
"31","Ball Handling","Foul Prone","Isolation","Power Forward","3","""BOS""","3742","AACmXpAAGAAAgVDAAe"
"32","Scoring","Foul Prone","Fast Break","Shooting Guard","4","""POR""","10554","AACmXpAAGAAAgVDAAf"
"33","Basketball IQ","Poor Decision Making","Zone Defense","Power Forward","5","""UTA""","14447","AACmXpAAGAAAgVDAAg"
"34","Leadership","Lack of Athleticism","Zone Defense","Shooting Guard","1","""PHI""","3916","AACmXpAAGAAAgVDAAh"
"35","Size/Length","Lack of Experience","Small Ball","Shooting Guard","4","""GSW""","14692","AACmXpAAGAAAgVDAAi"
"36","Scoring","Lack of Athleticism","Pick-and-Roll","Small Forward","1","""MIA""","19158","AACmXpAAGAAAgVDAAj"
"37","Defense","Foul Prone","Isolation","Small Forward","3","ATL","16122","AACmXpAAGAAAgVDAAk"
"38","Athleticism","Weak Defense","Isolation","Point Guard","2","""BOS""","12331","AACmXpAAGAAAgVDAAl"
"39","Basketball IQ","Lack of Athleticism","Small Ball","Point Guard","2","""BKN""","16929","AACmXpAAGAAAgVDAAm"
"40","Size/Length","Poor Decision Making","Triangle Offense","Shooting Guard","1","""DAL""","3158","AACmXpAAGAAAgVDAAn"
"41","Rebounding","Lack of Athleticism","Small Ball","Small Forward","2","""CHI""","3567","AACmXpAAGAAAgVDAAo"
"42","Versatility","Poor Ball Handling","Triangle Offense","Point Guard","5","""CHA""","8333","AACmXpAAGAAAgVDAAp"
"43","Passing","Weak Defense","Half-Court Offense","Power Forward","4","""TOR""","5237","AACmXpAAGAAAgVDAAq"
"44","Athleticism","Poor Ball Handling","Small Ball","Power Forward","4","""PHX""","3742","AACmXpAAGAAAgVDAAr"
"45","Passing","Lack of Size/Length","Fast Break","Small Forward","1","""MEM""","12099","AACmXpAAGAAAgVDAAs"
"46","Rebounding","Poor Ball Handling","Half-Court Offense","Power Forward","4","""UTA""","16030","AACmXpAAGAAAgVDAAt"
"47","Versatility","Inconsistent Shooting","Triangle Offense","Center","4","""CHA""","1839","AACmXpAAGAAAgVDAAu"
"48","Scoring","Poor Ball Handling","Isolation","Point Guard","1","""DET""","5047","AACmXpAAGAAAgVDAAv"
"49","Athleticism","Lack of Size/Length","Triangle Offense","Shooting Guard","1","""MIA""","14305","AACmXpAAGAAAgVDAAw"
"50","Size/Length","Inconsistent Shooting","Half-Court Offense","Point Guard","4","""MIA""","3100","AACmXpAAGAAAgVDAAx"
"51","Size/Length","Lack of Size/Length","Fast Break","Center","2","""CLE""","16715","AACmXpAAGAAAgVDAAy"
"52","Size/Length","Poor Decision Making","Pick-and-Roll","Shooting Guard","4","""MEM""","5874","AACmXpAAGAAAgVDAAz"
"53","Size/Length","Inconsistent Shooting","Small Ball","Small Forward","1","""NOP""","8567","AACmXpAAGAAAgVDAA0"
"54","Basketball IQ","Inconsistent Shooting","Small Ball","Small Forward","3","""OKC""","14581","AACmXpAAGAAAgVDAA1"
"55","Passing","Injury Prone","Man-to-Man Defense","Center","1","""CLE""","12219","AACmXpAAGAAAgVDAA2"
"56","Versatility","Inconsistent Shooting","Zone Defense","Small Forward","5","""PHX""","10633","AACmXpAAGAAAgVDAA3"
"57","Athleticism","Foul Prone","Triangle Offense","Power Forward","1","""HOU""","18308","AACmXpAAGAAAgVDAA4"
"58","Size/Length","Lack of Athleticism","Triangle Offense","Center","5","""MIA""","14178","AACmXpAAGAAAgVDAA5"
"59","Shooting","Injury Prone","Fast Break","Shooting Guard","4","""BOS""","11088","AACmXpAAGAAAgVDAA6"
"60","Size/Length","Inconsistent Shooting","Triangle Offense","Power Forward","2","""PHI""","17342","AACmXpAAGAAAgVDAA7"
"61","Ball Handling","Lack of Athleticism","Fast Break","Shooting Guard","4","""SAC""","3518","AACmXpAAGAAAgVDAA8"
"62","Ball Handling","Weak Defense","Isolation","Center","3","""PHI""","3410","AACmXpAAGAAAgVDAA9"
"63","Defense","Lack of Experience","Zone Defense","Power Forward","2","""SAS""","11889","AACmXpAAGAAAgVDAA+"
"64","Versatility","Poor Decision Making","Triangle Offense","Center","2","""MEM""","5492","AACmXpAAGAAAgVDAA/"
"65","Shooting","Foul Prone","Isolation","Power Forward","4","""CLE""","11136","AACmXpAAGAAAgVDABA"
"66","Scoring","Lack of Size/Length","Pick-and-Roll","Shooting Guard","5","""NYK""","13893","AACmXpAAGAAAgVDABB"
"67","Basketball IQ","Poor Ball Handling","Isolation","Center","5","""NYK""","962","AACmXpAAGAAAgVDABC"
"68","Defense","Inconsistent Shooting","Triangle Offense","Point Guard","5","""GSW""","11582","AACmXpAAGAAAgVDABD"
"69","Scoring","Foul Prone","Zone Defense","Shooting Guard","1","""OKC""","15832","AACmXpAAGAAAgVDABE"
"70","Versatility","Lack of Athleticism","Fast Break","Center","1","""IND""","13084","AACmXpAAGAAAgVDABF"
"71","Ball Handling","Poor Decision Making","Isolation","Shooting Guard","4","""BOS""","14942","AACmXpAAGAAAgVDABG"
"72","Ball Handling","Weak Defense","Man-to-Man Defense","Shooting Guard","5","""SAC""","5151","AACmXpAAGAAAgVDABH"
"73","Rebounding","Foul Prone","Small Ball","Point Guard","1","""NOP""","7770","AACmXpAAGAAAgVDABI"
"74","Passing","Lack of Athleticism","Zone Defense","Shooting Guard","1","""SAS""","8794","AACmXpAAGAAAgVDABJ"
"75","Ball Handling","Injury Prone","Half-Court Offense","Small Forward","3","""DEN""","12901","AACmXpAAGAAAgVDABK"
"76","Athleticism","Lack of Athleticism","Fast Break","Power Forward","4","""IND""","3098","AACmXpAAGAAAgVDABL"
"77","Versatility","Poor Ball Handling","Triangle Offense","Shooting Guard","3","""CLE""","8904","AACmXpAAGAAAgVDABM"
"78","Passing","Poor Decision Making","Isolation","Shooting Guard","3","""SAC""","2783","AACmXpAAGAAAgVDABN"
"79","Rebounding","Poor Decision Making","Zone Defense","Center","3","""NOP""","2185","AACmXpAAGAAAgVDABO"
"80","Ball Handling","Poor Ball Handling","Pick-and-Roll","Center","5","""POR""","5130","AACmXpAAGAAAgVDABP"
"81","Defense","Poor Decision Making","Pick-and-Roll","Small Forward","1","""MIN""","4369","AACmXpAAGAAAgVDABQ"
"82","Shooting","Poor Ball Handling","Isolation","Small Forward","4","""PHI""","8750","AACmXpAAGAAAgVDABR"
"83","Versatility","Lack of Experience","Pick-and-Roll","Center","5","""BOS""","7002","AACmXpAAGAAAgVDABS"
"84","Leadership","Poor Decision Making","Half-Court Offense","Center","4","""BOS""","18123","AACmXpAAGAAAgVDABT"
"85","Passing","Lack of Experience","Zone Defense","Small Forward","5","""BOS""","533","AACmXpAAGAAAgVDABU"
"86","Scoring","Foul Prone","Zone Defense","Center","1","""CLE""","15028","AACmXpAAGAAAgVDABV"
"87","Basketball IQ","Poor Ball Handling","Triangle Offense","Power Forward","1","""MEM""","13833","AACmXpAAGAAAgVDABW"
"88","Defense","Poor Ball Handling","Half-Court Offense","Center","1","""CHA""","2229","AACmXpAAGAAAgVDABX"
"89","Scoring","Poor Decision Making","Man-to-Man Defense","Power Forward","3","""DAL""","6275","AACmXpAAGAAAgVDABY"
"90","Athleticism","Inconsistent Shooting","Triangle Offense","Point Guard","4","""NYK""","17302","AACmXpAAGAAAgVDABZ"
"91","Scoring","Poor Ball Handling","Zone Defense","Shooting Guard","4","""CLE""","12713","AACmXpAAGAAAgVDABa"
"92","Athleticism","Foul Prone","Triangle Offense","Small Forward","1","""SAS""","16533","AACmXpAAGAAAgVDABb"
"93","Leadership","Foul Prone","Small Ball","Point Guard","4","""CHI""","19047","AACmXpAAGAAAgVDABc"
"94","Leadership","Lack of Experience","Triangle Offense","Center","1","""CHA""","11657","AACmXpAAGAAAgVDABd"
"95","Leadership","Poor Ball Handling","Fast Break","Center","1","""LAC""","18460","AACmXpAAGAAAgVDABe"
"96","Ball Handling","Inconsistent Shooting","Pick-and-Roll","Point Guard","1","""PHI""","7068","AACmXpAAGAAAgVDABf"
"97","Athleticism","Inconsistent Shooting","Small Ball","Small Forward","5","""BKN""","2278","AACmXpAAGAAAgVDABg"
"98","Scoring","Lack of Size/Length","Man-to-Man Defense","Shooting Guard","2","""MIN""","3268","AACmXpAAGAAAgVDABh"
"99","Rebounding","Foul Prone","Small Ball","Center","5","""LAL""","905","AACmXpAAGAAAgVEAAA"
"100","Ball Handling","Inconsistent Shooting","Zone Defense","Small Forward","1","""SAS""","5013","AACmXpAAGAAAgVEAAB"
"101","Versatility","Weak Defense","Pick-and-Roll","Small Forward","3","""PHX""","5696","AACmXpAAGAAAgVEAAC"
"102","Basketball IQ","Poor Ball Handling","Fast Break","Small Forward","2","""MIL""","11053","AACmXpAAGAAAgVEAAD"
"103","Rebounding","Injury Prone","Pick-and-Roll","Small Forward","2","""BKN""","18190","AACmXpAAGAAAgVEAAE"
"104","Ball Handling","Inconsistent Shooting","Man-to-Man Defense","Center","5","""SAC""","7874","AACmXpAAGAAAgVEAAF"
"105","Passing","Weak Defense","Fast Break","Power Forward","3","""LAC""","5116","AACmXpAAGAAAgVEAAG"
"106","Athleticism","Lack of Experience","Zone Defense","Power Forward","2","""BKN""","13591","AACmXpAAGAAAgVEAAH"
"107","Defense","Poor Ball Handling","Fast Break","Point Guard","4","""ORL""","12191","AACmXpAAGAAAgVEAAI"
"108","Scoring","Inconsistent Shooting","Half-Court Offense","Shooting Guard","4","""NYK""","1469","AACmXpAAGAAAgVEAAJ"
"109","Size/Length","Foul Prone","Isolation","Small Forward","2","""GSW""","3273","AACmXpAAGAAAgVEAAK"
"110","Scoring","Lack of Athleticism","Man-to-Man Defense","Small Forward","1","""WAS""","6621","AACmXpAAGAAAgVEAAL"
"111","Rebounding","Lack of Athleticism","Man-to-Man Defense","Shooting Guard","1","""CHA""","10141","AACmXpAAGAAAgVEAAM"
"112","Rebounding","Poor Ball Handling","Zone Defense","Shooting Guard","3","""ORL""","5524","AACmXpAAGAAAgVEAAN"
"113","Leadership","Lack of Experience","Half-Court Offense","Point Guard","2","""GSW""","18238","AACmXpAAGAAAgVEAAO"
"114","Ball Handling","Inconsistent Shooting","Man-to-Man Defense","Power Forward","5","""MIA""","7441","AACmXpAAGAAAgVEAAP"
"115","Basketball IQ","Poor Decision Making","Man-to-Man Defense","Point Guard","4","""MIL""","1496","AACmXpAAGAAAgVEAAQ"
"116","Leadership","Injury Prone","Pick-and-Roll","Power Forward","4","ATL","10695","AACmXpAAGAAAgVEAAR"
"117","Rebounding","Lack of Athleticism","Isolation","Power Forward","2","""OKC""","11007","AACmXpAAGAAAgVEAAS"
"118","Scoring","Poor Ball Handling","Man-to-Man Defense","Small Forward","3","""PHI""","6510","AACmXpAAGAAAgVEAAT"
"119","Versatility","Lack of Experience","Half-Court Offense","Small Forward","4","""DET""","4126","AACmXpAAGAAAgVEAAU"
"120","Rebounding","Inconsistent Shooting","Fast Break","Power Forward","4","""MIA""","19831","AACmXpAAGAAAgVEAAV"
"121","Rebounding","Lack of Experience","Pick-and-Roll","Power Forward","5","""BKN""","8808","AACmXpAAGAAAgVEAAW"
"122","Shooting","Inconsistent Shooting","Half-Court Offense","Point Guard","4","""NOP""","11569","AACmXpAAGAAAgVEAAX"
"123","Rebounding","Poor Ball Handling","Man-to-Man Defense","Shooting Guard","4","""TOR""","18879","AACmXpAAGAAAgVEAAY"
"124","Athleticism","Lack of Size/Length","Fast Break","Point Guard","1","""SAS""","11283","AACmXpAAGAAAgVEAAZ"
"125","Scoring","Poor Decision Making","Isolation","Center","4","""SAS""","5691","AACmXpAAGAAAgVEAAa"
"126","Leadership","Lack of Athleticism","Fast Break","Point Guard","5","""SAC""","14597","AACmXpAAGAAAgVEAAb"
"127","Basketball IQ","Inconsistent Shooting","Isolation","Center","4","""MIL""","16593","AACmXpAAGAAAgVEAAc"
"128","Versatility","Weak Defense","Fast Break","Power Forward","4","""POR""","7082","AACmXpAAGAAAgVEAAd"
"129","Passing","Poor Ball Handling","Zone Defense","Small Forward","5","""OKC""","6968","AACmXpAAGAAAgVEAAe"
"130","Rebounding","Weak Defense","Small Ball","Small Forward","1","""OKC""","16907","AACmXpAAGAAAgVEAAf"
"131","Basketball IQ","Weak Defense","Pick-and-Roll","Small Forward","2","""TOR""","6603","AACmXpAAGAAAgVEAAg"
"132","Scoring","Foul Prone","Man-to-Man Defense","Shooting Guard","4","""LAL""","13788","AACmXpAAGAAAgVEAAh"
"133","Defense","Inconsistent Shooting","Man-to-Man Defense","Small Forward","5","""SAS""","9065","AACmXpAAGAAAgVEAAi"
"134","Versatility","Weak Defense","Half-Court Offense","Point Guard","3","""BOS""","12705","AACmXpAAGAAAgVEAAj"
"135","Scoring","Poor Decision Making","Isolation","Center","3","""MEM""","823","AACmXpAAGAAAgVEAAk"
"136","Size/Length","Lack of Athleticism","Pick-and-Roll","Small Forward","1","""SAC""","8831","AACmXpAAGAAAgVEAAl"
"137","Size/Length","Lack of Experience","Isolation","Power Forward","1","""CHA""","11340","AACmXpAAGAAAgVEAAm"
"138","Athleticism","Lack of Athleticism","Fast Break","Power Forward","1","""GSW""","16416","AACmXpAAGAAAgVEAAn"
"139","Versatility","Weak Defense","Triangle Offense","Small Forward","5","""GSW""","12453","AACmXpAAGAAAgVEAAo"
"140","Basketball IQ","Poor Ball Handling","Man-to-Man Defense","Shooting Guard","5","""MIN""","10147","AACmXpAAGAAAgVEAAp"
"141","Shooting","Weak Defense","Zone Defense","Center","2","""CHA""","1448","AACmXpAAGAAAgVEAAq"
"142","Scoring","Poor Ball Handling","Fast Break","Power Forward","4","""DEN""","4088","AACmXpAAGAAAgVEAAr"
"143","Basketball IQ","Poor Decision Making","Pick-and-Roll","Small Forward","3","""LAC""","13375","AACmXpAAGAAAgVEAAs"
"144","Scoring","Poor Decision Making","Triangle Offense","Small Forward","3","""ORL""","11936","AACmXpAAGAAAgVEAAt"
"145","Versatility","Lack of Experience","Man-to-Man Defense","Center","5","""WAS""","788","AACmXpAAGAAAgVEAAu"
"146","Athleticism","Poor Decision Making","Pick-and-Roll","Shooting Guard","5","""MEM""","4196","AACmXpAAGAAAgVEAAv"
"147","Athleticism","Lack of Size/Length","Man-to-Man Defense","Shooting Guard","2","""SAC""","19309","AACmXpAAGAAAgVEAAw"
"148","Scoring","Weak Defense","Half-Court Offense","Shooting Guard","1","""PHX""","14336","AACmXpAAGAAAgVEAAx"
"149","Versatility","Foul Prone","Triangle Offense","Shooting Guard","4","""LAL""","1624","AACmXpAAGAAAgVEAAy"
"150","Scoring","Inconsistent Shooting","Isolation","Power Forward","2","""CHI""","18151","AACmXpAAGAAAgVEAAz"
"151","Defense","Poor Ball Handling","Zone Defense","Center","4","""BOS""","16780","AACmXpAAGAAAgVEAA0"
"152","Passing","Weak Defense","Man-to-Man Defense","Center","1","""LAC""","19846","AACmXpAAGAAAgVEAA1"
"153","Defense","Injury Prone","Small Ball","Point Guard","4","""BOS""","12423","AACmXpAAGAAAgVEAA2"
"154","Ball Handling","Lack of Size/Length","Half-Court Offense","Point Guard","3","""UTA""","15830","AACmXpAAGAAAgVEAA3"
"155","Athleticism","Lack of Size/Length","Small Ball","Center","5","""OKC""","10966","AACmXpAAGAAAgVEAA4"
"156","Athleticism","Poor Decision Making","Triangle Offense","Power Forward","2","""CLE""","14289","AACmXpAAGAAAgVEAA5"
"157","Defense","Lack of Athleticism","Pick-and-Roll","Center","5","""UTA""","12973","AACmXpAAGAAAgVEAA6"
"158","Rebounding","Lack of Athleticism","Pick-and-Roll","Power Forward","4","""GSW""","16431","AACmXpAAGAAAgVEAA7"
"159","Athleticism","Inconsistent Shooting","Pick-and-Roll","Small Forward","2","""MIN""","18487","AACmXpAAGAAAgVEAA8"
"160","Athleticism","Inconsistent Shooting","Zone Defense","Small Forward","3","""LAL""","15145","AACmXpAAGAAAgVEAA9"
"161","Rebounding","Lack of Athleticism","Pick-and-Roll","Power Forward","1","""TOR""","5863","AACmXpAAGAAAgVEAA+"
"162","Defense","Weak Defense","Small Ball","Point Guard","1","""PHI""","9987","AACmXpAAGAAAgVEAA/"
"163","Scoring","Lack of Size/Length","Zone Defense","Center","4","""OKC""","14201","AACmXpAAGAAAgVEABA"
"164","Versatility","Inconsistent Shooting","Triangle Offense","Power Forward","2","""BOS""","15059","AACmXpAAGAAAgVEABB"
"165","Scoring","Inconsistent Shooting","Isolation","Center","3","""SAS""","15853","AACmXpAAGAAAgVEABC"
"166","Scoring","Poor Ball Handling","Pick-and-Roll","Center","5","""LAC""","19820","AACmXpAAGAAAgVEABD"
"167","Ball Handling","Inconsistent Shooting","Fast Break","Point Guard","4","""LAL""","6059","AACmXpAAGAAAgVEABE"
"168","Versatility","Poor Ball Handling","Isolation","Shooting Guard","1","""MIN""","13336","AACmXpAAGAAAgVEABF"
"169","Rebounding","Inconsistent Shooting","Isolation","Center","3","""OKC""","13739","AACmXpAAGAAAgVEABG"
"170","Basketball IQ","Lack of Size/Length","Small Ball","Small Forward","1","""LAL""","11277","AACmXpAAGAAAgVEABH"
"171","Athleticism","Foul Prone","Man-to-Man Defense","Power Forward","1","""DET""","17099","AACmXpAAGAAAgVEABI"
"172","Leadership","Inconsistent Shooting","Zone Defense","Power Forward","4","""MEM""","13235","AACmXpAAGAAAgVEABJ"
"173","Defense","Lack of Size/Length","Half-Court Offense","Center","4","""MIN""","6234","AACmXpAAGAAAgVEABK"
"174","Leadership","Poor Decision Making","Small Ball","Point Guard","5","""UTA""","17043","AACmXpAAGAAAgVEABL"
"175","Shooting","Lack of Size/Length","Half-Court Offense","Shooting Guard","1","""POR""","18619","AACmXpAAGAAAgVEABM"
"176","Shooting","Inconsistent Shooting","Zone Defense","Power Forward","3","""CHI""","7882","AACmXpAAGAAAgVEABN"
"177","Scoring","Lack of Athleticism","Fast Break","Small Forward","1","""PHI""","18456","AACmXpAAGAAAgVEABO"
"178","Size/Length","Foul Prone","Pick-and-Roll","Center","5","""CHA""","14349","AACmXpAAGAAAgVEABP"
"179","Passing","Inconsistent Shooting","Small Ball","Power Forward","2","""ORL""","3618","AACmXpAAGAAAgVEABQ"
"180","Versatility","Inconsistent Shooting","Isolation","Shooting Guard","2","""MIA""","2603","AACmXpAAGAAAgVEABR"
"181","Passing","Lack of Athleticism","Pick-and-Roll","Power Forward","2","""NYK""","579","AACmXpAAGAAAgVEABS"
"182","Athleticism","Foul Prone","Small Ball","Point Guard","5","""CHI""","14387","AACmXpAAGAAAgVEABT"
"183","Versatility","Poor Ball Handling","Isolation","Center","2","""DAL""","14542","AACmXpAAGAAAgVEABU"
"184","Passing","Weak Defense","Triangle Offense","Center","3","""DET""","6497","AACmXpAAGAAAgVEABV"
"185","Size/Length","Lack of Experience","Triangle Offense","Point Guard","2","""NOP""","15197","AACmXpAAGAAAgVEABW"
"186","Size/Length","Lack of Athleticism","Triangle Offense","Small Forward","3","""DAL""","9245","AACmXpAAGAAAgVEABX"
"187","Scoring","Poor Ball Handling","Fast Break","Power Forward","5","""UTA""","4414","AACmXpAAGAAAgVEABY"
"188","Scoring","Weak Defense","Man-to-Man Defense","Small Forward","3","""LAL""","11062","AACmXpAAGAAAgVEABZ"
"189","Rebounding","Injury Prone","Zone Defense","Center","1","""UTA""","6981","AACmXpAAGAAAgVEABa"
"190","Ball Handling","Lack of Size/Length","Man-to-Man Defense","Point Guard","1","""DEN""","6674","AACmXpAAGAAAgVEABb"
"191","Passing","Poor Ball Handling","Isolation","Power Forward","1","""CLE""","15404","AACmXpAAGAAAgVEABc"
"192","Rebounding","Lack of Experience","Triangle Offense","Point Guard","2","""WAS""","18682","AACmXpAAGAAAgVEABd"
"193","Basketball IQ","Lack of Athleticism","Small Ball","Shooting Guard","2","""PHX""","1181","AACmXpAAGAAAgVEABe"
"194","Athleticism","Poor Ball Handling","Pick-and-Roll","Power Forward","5","""GSW""","8000","AACmXpAAGAAAgVEABf"
"195","Leadership","Lack of Experience","Triangle Offense","Center","3","""DAL""","3906","AACmXpAAGAAAgVEABg"
"196","Ball Handling","Poor Decision Making","Zone Defense","Center","4","""MIL""","8789","AACmXpAAGAAAgVFAAA"
"197","Scoring","Lack of Athleticism","Zone Defense","Center","3","""SAS""","2539","AACmXpAAGAAAgVFAAB"
"198","Versatility","Injury Prone","Half-Court Offense","Small Forward","3","""BOS""","9489","AACmXpAAGAAAgVFAAC"
"199","Versatility","Foul Prone","Zone Defense","Small Forward","4","""CHA""","6176","AACmXpAAGAAAgVFAAD"
"200","Defense","Weak Defense","Triangle Offense","Small Forward","4","""SAC""","14516","AACmXpAAGAAAgVFAAE"
"201","Passing","Foul Prone","Zone Defense","Small Forward","5","""PHI""","11174","AACmXpAAGAAAgVFAAF"
"202","Scoring","Inconsistent Shooting","Half-Court Offense","Shooting Guard","5","""LAL""","12492","AACmXpAAGAAAgVFAAG"
"203","Defense","Inconsistent Shooting","Half-Court Offense","Small Forward","1","""WAS""","3601","AACmXpAAGAAAgVFAAH"
"204","Size/Length","Inconsistent Shooting","Fast Break","Point Guard","1","ATL","7650","AACmXpAAGAAAgVFAAI"
"205","Ball Handling","Inconsistent Shooting","Zone Defense","Center","1","""LAL""","16999","AACmXpAAGAAAgVFAAJ"
"206","Scoring","Poor Decision Making","Small Ball","Shooting Guard","5","""POR""","12656","AACmXpAAGAAAgVFAAK"
"207","Passing","Poor Decision Making","Man-to-Man Defense","Point Guard","2","""TOR""","11666","AACmXpAAGAAAgVFAAL"
"208","Size/Length","Poor Ball Handling","Half-Court Offense","Point Guard","4","""SAS""","14694","AACmXpAAGAAAgVFAAM"
"209","Shooting","Injury Prone","Triangle Offense","Center","3","""UTA""","19245","AACmXpAAGAAAgVFAAN"
"210","Passing","Injury Prone","Zone Defense","Point Guard","1","""MIA""","3548","AACmXpAAGAAAgVFAAO"
"211","Ball Handling","Lack of Experience","Isolation","Center","3","""NOP""","1662","AACmXpAAGAAAgVFAAP"
"212","Athleticism","Poor Ball Handling","Half-Court Offense","Power Forward","3","""GSW""","11865","AACmXpAAGAAAgVFAAQ"
"213","Versatility","Injury Prone","Fast Break","Power Forward","2","""PHX""","2631","AACmXpAAGAAAgVFAAR"
"214","Rebounding","Lack of Experience","Fast Break","Small Forward","3","""IND""","14967","AACmXpAAGAAAgVFAAS"
"215","Rebounding","Lack of Experience","Isolation","Shooting Guard","3","""BKN""","9222","AACmXpAAGAAAgVFAAT"
"216","Leadership","Weak Defense","Zone Defense","Center","2","""PHX""","11817","AACmXpAAGAAAgVFAAU"
"217","Defense","Injury Prone","Isolation","Small Forward","3","""SAS""","6772","AACmXpAAGAAAgVFAAV"
"218","Leadership","Foul Prone","Isolation","Shooting Guard","4","""HOU""","11292","AACmXpAAGAAAgVFAAW"
"219","Athleticism","Poor Decision Making","Isolation","Small Forward","3","""LAC""","8729","AACmXpAAGAAAgVFAAX"
"220","Scoring","Poor Ball Handling","Small Ball","Point Guard","5","""POR""","19925","AACmXpAAGAAAgVFAAY"
"221","Ball Handling","Lack of Experience","Triangle Offense","Center","5","""GSW""","10362","AACmXpAAGAAAgVFAAZ"
"222","Ball Handling","Weak Defense","Zone Defense","Center","4","""TOR""","153","AACmXpAAGAAAgVFAAa"
"223","Ball Handling","Poor Ball Handling","Triangle Offense","Shooting Guard","4","""MEM""","17670","AACmXpAAGAAAgVFAAb"
"224","Basketball IQ","Weak Defense","Zone Defense","Small Forward","4","""IND""","2930","AACmXpAAGAAAgVFAAc"
"225","Scoring","Foul Prone","Fast Break","Power Forward","2","""GSW""","16704","AACmXpAAGAAAgVFAAd"
"226","Athleticism","Poor Ball Handling","Small Ball","Shooting Guard","5","""NOP""","6748","AACmXpAAGAAAgVFAAe"
"227","Athleticism","Poor Decision Making","Small Ball","Center","4","""MEM""","19989","AACmXpAAGAAAgVFAAf"
"228","Athleticism","Foul Prone","Half-Court Offense","Power Forward","2","""OKC""","17754","AACmXpAAGAAAgVFAAg"
"229","Shooting","Foul Prone","Triangle Offense","Center","2","""GSW""","12162","AACmXpAAGAAAgVFAAh"
