"   ","TEAM_SELECTED","D_EVALUATION","D_POSITION","D_YEAR","D_ID","ROWID"
"47","""WAS""","Advanced Stats","47","2022","1","AACmXkAAGAAAgU+AAu"
"48","""LAL""","Value Over Replacement Player (VORP)","48","2022","2","AACmXkAAGAAAgU+AAv"
"49","""WAS""","Player Efficiency Rating (PER)","49","2022","1","AACmXkAAGAAAgU+AAw"
"50","""CHI""","Value Over Replacement Player (VORP)","50","2022","2","AACmXkAAGAAAgU+AAx"
"51","""DET""","Player Efficiency Rating (PER)","51","2022","2","AACmXkAAGAAAgU+AAy"
"52","""BOS""","Win Shares","52","2022","2","AACmXkAAGAAAgU+AAz"
"53","""GSW""","Player Efficiency Rating (PER)","53","2022","2","AACmXkAAGAAAgU+AA0"
"54","""SAS""","Value Over Replacement Player (VORP)","54","2022","2","AACmXkAAGAAAgU+AA1"
"55","""TOR""","Advanced Stats","55","2022","1","AACmXkAAGAAAgU+AA2"
"56","""BOS""","Player Efficiency Rating (PER)","56","2022","1","AACmXkAAGAAAgU+AA3"
"57","""PHI""","Player Efficiency Rating (PER)","57","2022","1","AACmXkAAGAAAgU+AA4"
"58","""LAL""","Value Over Replacement Player (VORP)","58","2022","2","AACmXkAAGAAAgU+AA5"
"59","""GSW""","Player Efficiency Rating (PER)","59","2022","2","AACmXkAAGAAAgU+AA6"
"60","""NYK""","NBA Efficiency","60","2022","2","AACmXkAAGAAAgU+AA7"
"61","""HOU""","Player Efficiency Rating (PER)","1","2022","2","AACmXkAAGAAAgU+AA8"
"62","""TOR""","Player Efficiency Rating (PER)","2","2022","1","AACmXkAAGAAAgU+AA9"
"63","""MIN""","NBA Efficiency","3","2022","2","AACmXkAAGAAAgU+AA+"
"64","""CLE""","Value Over Replacement Player (VORP)","4","2022","2","AACmXkAAGAAAgU+AA/"
"65","""DAL""","Player Efficiency Rating (PER)","5","2022","1","AACmXkAAGAAAgU+ABA"
"66","""BOS""","Advanced Stats","6","2022","1","AACmXkAAGAAAgU+ABB"
"67","""MIL""","Advanced Stats","7","2022","1","AACmXkAAGAAAgU+ABC"
"68","""SAC""","Win Shares","8","2022","1","AACmXkAAGAAAgU+ABD"
"69","""OKC""","NBA Efficiency","9","2022","2","AACmXkAAGAAAgU+ABE"
"70","""LAC""","Value Over Replacement Player (VORP)","10","2022","2","AACmXkAAGAAAgU+ABF"
"71","""SAC""","Value Over Replacement Player (VORP)","11","2022","2","AACmXkAAGAAAgU+ABG"
"72","""LAL""","NBA Efficiency","12","2022","1","AACmXkAAGAAAgU+ABH"
"73","""WAS""","Player Efficiency Rating (PER)","13","2022","1","AACmXkAAGAAAgU+ABI"
"74","""TOR""","Player Efficiency Rating (PER)","14","2022","2","AACmXkAAGAAAgU+ABJ"
"75","""GSW""","Advanced Stats","15","2022","2","AACmXkAAGAAAgU+ABK"
"76","""DAL""","Player Efficiency Rating (PER)","16","2022","1","AACmXkAAGAAAgU+ABL"
"77","""NOP""","Player Efficiency Rating (PER)","17","2022","1","AACmXkAAGAAAgU+ABM"
"78","""CLE""","Advanced Stats","18","2022","1","AACmXkAAGAAAgU+ABN"
"79","""HOU""","Player Efficiency Rating (PER)","19","2022","2","AACmXkAAGAAAgU+ABO"
"80","""SAS""","Value Over Replacement Player (VORP)","20","2022","1","AACmXkAAGAAAgU+ABP"
"81","""NYK""","NBA Efficiency","21","2022","2","AACmXkAAGAAAgU+ABQ"
"82","""BKN""","Value Over Replacement Player (VORP)","22","2022","2","AACmXkAAGAAAgU+ABR"
"83","""BKN""","Value Over Replacement Player (VORP)","23","2022","1","AACmXkAAGAAAgU+ABS"
"84","""SAC""","NBA Efficiency","24","2022","2","AACmXkAAGAAAgU+ABT"
"85","""BKN""","Player Efficiency Rating (PER)","25","2022","1","AACmXkAAGAAAgU+ABU"
"86","""OKC""","Advanced Stats","26","2022","2","AACmXkAAGAAAgU+ABV"
"87","""MIN""","Win Shares","27","2022","2","AACmXkAAGAAAgU+ABW"
"88","""MEM""","Win Shares","28","2022","2","AACmXkAAGAAAgU+ABX"
"89","""UTA""","Win Shares","29","2022","1","AACmXkAAGAAAgU+ABY"
"90","""MIL""","Player Efficiency Rating (PER)","30","2022","2","AACmXkAAGAAAgU+ABZ"
"91","""CHA""","Player Efficiency Rating (PER)","31","2022","1","AACmXkAAGAAAgU+ABa"
"92","""BKN""","Value Over Replacement Player (VORP)","32","2022","2","AACmXkAAGAAAgU+ABb"
"93","""LAC""","NBA Efficiency","33","2022","2","AACmXkAAGAAAgU+ABc"
"94","""SAC""","Win Shares","34","2022","2","AACmXkAAGAAAgU+ABd"
"95","""DAL""","Win Shares","35","2022","2","AACmXkAAGAAAgU+ABe"
"96","""DET""","Value Over Replacement Player (VORP)","36","2022","1","AACmXkAAGAAAgU+ABf"
"97","""DAL""","NBA Efficiency","37","2022","2","AACmXkAAGAAAgU+ABg"
"98","""OKC""","Player Efficiency Rating (PER)","38","2022","1","AACmXkAAGAAAgU+ABh"
"99","""UTA""","Win Shares","39","2022","2","AACmXkAAGAAAgU+ABi"
"100","""BKN""","Advanced Stats","40","2022","1","AACmXkAAGAAAgU+ABj"
"101","""NOP""","Value Over Replacement Player (VORP)","41","2022","2","AACmXkAAGAAAgU+ABk"
"102","""BKN""","Value Over Replacement Player (VORP)","42","2022","2","AACmXkAAGAAAgU+ABl"
"103","""CHA""","Win Shares","43","2022","2","AACmXkAAGAAAgU+ABm"
"104","""CLE""","Player Efficiency Rating (PER)","44","2022","1","AACmXkAAGAAAgU+ABn"
"105","""NYK""","Win Shares","45","2022","1","AACmXkAAGAAAgU+ABo"
"106","""HOU""","NBA Efficiency","46","2022","2","AACmXkAAGAAAgU+ABp"
"107","""GSW""","Win Shares","47","2022","1","AACmXkAAGAAAgU+ABq"
"108","""BOS""","Value Over Replacement Player (VORP)","48","2022","2","AACmXkAAGAAAgU+ABr"
"109","""HOU""","Value Over Replacement Player (VORP)","49","2022","2","AACmXkAAGAAAgU+ABs"
"110","""DAL""","NBA Efficiency","50","2022","2","AACmXkAAGAAAgU+ABt"
"111","""GSW""","NBA Efficiency","51","2022","1","AACmXkAAGAAAgU+ABu"
"112","""CHA""","Win Shares","52","2022","1","AACmXkAAGAAAgU+ABv"
"113","""WAS""","NBA Efficiency","53","2022","1","AACmXkAAGAAAgU+ABw"
"114","""TOR""","Advanced Stats","54","2022","1","AACmXkAAGAAAgU+ABx"
"115","""CHA""","Advanced Stats","55","2022","1","AACmXkAAGAAAgU+ABy"
"116","""BKN""","Advanced Stats","56","2022","1","AACmXkAAGAAAgU+ABz"
"117","""BKN""","Advanced Stats","57","2022","1","AACmXkAAGAAAgU+AB0"
"118","""MIL""","Advanced Stats","58","2022","2","AACmXkAAGAAAgU+AB1"
"119","""CLE""","Win Shares","59","2022","2","AACmXkAAGAAAgU+AB2"
"120","""TOR""","NBA Efficiency","60","2022","2","AACmXkAAGAAAgU+AB3"
